index,title,article_url,date,time,author,excerpt,section,date_dt
149,Φωτιά σε δασική έκταση στη Σκαλώτη Δράμας - Μεγάλη κινητοποίηση της Πυροσβεστικής,https://www.athensvoice.gr/epikairotita/ellada/872848/fotia-se-dasiki-ektasi-sti-skaloti-dramas-megali-kinitopoiisi-tis-purosvestikis/,2024-10-16,15:00:00,Newsroom,Φωτιά σε δασική έκταση στη Σκαλώτη Δράμας - Μεγάλη κινητοποίηση της Πυροσβεστικής,Ελλαδα,2024-10-16
150,Δολοφονήθηκε ο διάσημος φωτογράφος Πολ Λόου - Βασικός ύποπτος ο γιος του,https://www.athensvoice.gr/epikairotita/diethni/872692/dolofonithike-o-diasimos-fotografos-pol-loou-vasikos-upoptos-o-gios-tou/,2024-10-16,07:20:00,Newsroom,Πολ Λόου: Θύμα δολοφονίας ο διάσημος Βρετανός φωτογράφος - Βασικός ύποπτος για το έγκλημα ο 19χρονος γιος του,Κοσμος,2024-10-16
151,Bird Photographer of the Year 2024: Οι εικόνες που ξεχώρισαν αφηγούνται μια ολόκληρη ιστορία,https://www.athensvoice.gr/politismos/fotografia/869744/bird-photographer-of-the-year-2024-oi-eikones-pou-xehorisan/,2024-10-15,15:24:00,Γεωργία Ζερβογιάννη,Bird Photographer of the Year 2024: Οι νικητήριες εικόνες,Φωτογραφια,2024-10-15
152,Αθώος για παιδοβιασμό βασικός ύποπτος για την εξαφάνιση της Μαντλίν ΜακΚάν,https://www.athensvoice.gr/epikairotita/diethni/871457/athoos-gia-paidoviasmous-vasikos-upoptos-gia-tin-exafanisi-tis-madlin-makkan/,2024-10-08,09:47:00,Newsroom,Εξαφάνιση Μαντλίν ΜακΚάν: Αθώος για παιδοβιασμό ο Κρίστιαν Μπρίκνερ,Κοσμος,2024-10-08
153,Κασσελάκης από Ξυλόκαστρο: Άλλη μια πυρκαγιά της «εποχής Μητσοτάκη»,https://www.athensvoice.gr/epikairotita/politiki-oikonomia/871007/kasselakis-apo-xulokastro-alli-mia-purkagia-tis-epohis-mitsotaki/,2024-10-04,13:42:05,Newsroom,Κασσελάκης από Ξυλόκαστρο: Άλλη μια πυρκαγιά της «εποχής Μητσοτάκη» - Αυτοψία του υποψηφίου προέδρου του ΣΥΡΙΖΑ στις περιοχές που επλήγησαν από την πυρκαγιά,Πολιτικη & Οικονομια,2024-10-04
154,Πυρκαγιά σε εταιρεία με ανακυκλώσιμα υλικά στη ΒΙ.ΠΕ Σίνδου στη Θεσσαλονίκη,https://www.athensvoice.gr/epikairotita/ellada/870485/purkagia-se-etaireia-me-anakuklosima-ulika-sti-vipe-sindou-sti-thessaloniki/,2024-10-02,04:49:19,Newsroom,Mεγάλη πυρκαγιά σε εταιρεία με ανακυκλώσιμα υλικά στη ΒΙ.ΠΕ Σίνδου στη Θεσσαλονίκη - Άγνωστο ακόμα πώς ξεκίνησε η φωτιά,Ελλαδα,2024-10-02
155,"Γερουλάνος: Αδιανόητο, θρηνούμε νεκρούς από πυρκαγιές τον Οκτώβριο",https://www.athensvoice.gr/epikairotita/politiki-oikonomia/870169/geroulanos-adianoito-thrinoume-nekrous-apo-purkagies-ton-oktovrio/,2024-09-30,08:55:00,Newsroom,O Παύλος Γερουλάνος για την πυρκαγιά στην Κορινθία - Η ανάρτηση του υποψήφιου για την ηγεσία του ΠΑΣΟΚ,Πολιτικη & Οικονομια,2024-09-30
156,Μίλα μου βρόμικα: Bρήκα στο μπάνιο του μακριές τρίχες που δεν ήταν δικές μου,https://look.athensvoice.gr/look/sheseis/869423/mila-mou-vromika-brika-sto-banio-tou-makries-trihes-pou-den-itan-dikes-mou/,2024-09-28,06:15:39,Τζένη Μελιτά,Μίλα μου βρόμικα: Bρήκα στο μπάνιο του μακριές τρίχες που δεν ήταν δικές μου,Σχεσεις,2024-09-28
157,Αλλάζω Συσκευή: Τρεις βασικές αλλαγές στον oδηγό του προγράμματος για τις επιχειρήσεις,https://www.athensvoice.gr/epikairotita/ellada/869739/allazo-suskeui-treis-vasikes-allages-ston-odigo-tou-programmatos-gia-tis-epiheiriseis/,2024-09-26,13:48:00,Newsroom,Αλλάζω Συσκευή: Τρεις βασικές αλλαγές στον oδηγό του προγράμματος για τις επιχειρήσεις,Ελλαδα,2024-09-26
158,Πάνω από 90.000 στρέμματα στάχτη από τις πυρκαγιές στην Κολομβία,https://www.athensvoice.gr/epikairotita/diethni/868861/purkagies-stin-kolomvia-pano-apo-90000-stremmata-stahti/,2024-09-21,05:49:53,Newsroom,Κολομβία: Πυρκαγιές έχουν μετατρέψει σε αποκαΐδια πάνω από 90.000 στρέμματα βλάστησης - Έλλειψη βροχοπτώσεων και αύξηση των θερμοκρασιών,Κοσμος,2024-09-21
